Aktuellt och historik,,F26D,,S25,,F25D,,F24,S24,,F23,,S23,,F22,,S22,,S21,,S20,,S19,,Score,LIA-perioder,LIA-studerande,LIA-pitch 2025,LIA-pitch 2024,LIA-pitch 2023,LIA-pitch 2022
Företag,Stad,LIA2,LIA1,LIA 2,LIA 1,LIA2,LIA1,LIA,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,LIA2,LIA1,,,,,,,
LIRO IT AB,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
Luday,Nigeria,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,
Luminator,Herrljunga,,,,,,,,,,,,2,,1,,,,,,,,,,,2,3,,,,
Maksimer,Borås,,,,Ja,,,,1,1,,1,1,2,,,1,,1,1,,,,,900202,8,9,,,Ja,
Mebyou,Borås,,,,Ja,,,,1,1,, ,, ,,,2,2,,,,,1,,1000203,5,7,,,Nej,Ja
MIO,Skövde,,,,,,,,,,,,,,2,3,,,,,,,,,1000103,2,5,,,,
Miss Mary,Borås,,,,,,,,,,,,1,,,,,,,,1,,,,700101,2,2,,,,
Nelly,Borås,,,,,,,,,,,,,,,,,,,1,1,1,1,1,800505,5,5,,,,
NetOnNet,Borås,,,,Ja,,,,1,1,,,2, ,2,2,2,2,2,2,,,2,2,1000612,11,20,,Ja,Ja,Ja
Nexer,Borås/VG,,,,,,,,,,,2,2,2,,,,,,,,,,,,3,6,,Ja,,
Nexer ,Göteborg,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
OptiChain,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
Play Along,Stockholm,,,,,,,,,,,,,,,,,,,,,,,1,500101,1,1,,,,
Playground TV,Göteborg,,,,,,,,,,,,,,,,,,,,,,1,,500101,1,1,,,,
PodManager.AI,,,,,,,13,1,,,,,,,,,,,,,,,,,,2,14,,,,
Precio Fishbone,Borås,,,,,,,,,,,,, ,,,2,2,,,,,,,1000102,2,4,,,,Ja
Pulsen omsorg,Borås,,,,,,,1,,,,,,,,,,,,,,,1,1,500202,3,3,,,,Ja
Recopart,Borås,,,,,,,,,,,,,,1,1,,,,,,,,,1000101,2,2,,,,
Remote24,Göteborg,,,,,,,,,,,,,,,,,,,,1,,,,700101,1,1,,,,
Revolution Race,Borås,,,,,,,,,,,,,,,,,,,,1,,,,700101,1,1,,,,
Rivercode,Borås,,,,,,,1,,,,,,,1,,,,,,,,,,,2,2,,,,
Rudholm Group,Borås,,,,,,,,2,,1,2,2,,,,,,,,,,,,,4,7,,,,
Rutin Sverige,Alingsås,,,,,,,,,,,,,,,,,,,,1,,,,700101,1,1,,,,
Scandinavian Photo,Borås,,,Ja,Nej,,,,1,,,,,,,,,,,,,,,,,1,1,,,,
Sebratech,Göteborg,,,,,,1,,1,,,,,,,,,,,,,,,,,2,2,,,,
Seriesam AB,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,
Storigo,Luleå,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,
Stort och Smått ,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
Tech Stn. (fd Team Front),Borås,,,,,,,,,,,,2,1,,,,,,,,1,1,1,600303,5,6,,,,
Techstep,Borås,,,,Kanske,,,,2,1,1,1,,1,,,,,1,1,2,2,2,2,900610,11,16,,,Ja,
Tetra Pak - Global Information Management,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
Thelin Data,Lidköping,,,,,,,,,,,,,,,,,,,1,,1,,,800202,2,2,,,,
Tivala,Skövde,,,,,,,,,,,,,,1,,,,1,,,,,,900101,2,2,,,,
TKF (The Knowledge Formula),Distans,,,,,,1,,1,,,,,,,,,,,,,,,,,2,2,,,,
Toxic,Borås,,,,,,,,,,,,,,,1,,,,,,,1,1,1000303,3,3,,,,
Viskan System,Borås,,,,,,,,,,,,,,2,,,,,1,,,,,800101,2,3,,,,Ja
Volvo Group,Göteborg,,,,,,,,,,,,,,,,,,1,1,,,,,900202,2,2,,,,
Västra Götalandsregionen,Göteborg,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,
Webbpoolen,Sverige,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,
Wideco,Borås,,,,,,,,,,,,,,,,,,,,,,,1,500101,1,1,,,,
